"region","species","species_abbr","cuid","cu_name_pse","CU","prSmax","prCV","S_n","R_n"
"Central Coast","Chum","CM",504,"Bella Coola-Dean Rivers","Bella_Colla-Dean_Rivers",198080,10,"62","61"
"Central Coast","Chum","CM",508,"Douglas-Gardner","Douglas-Gardner",237785,10,"61","60"
"Central Coast","Chum","CM",506,"Hecate Lowlands","Hecate_Lowlands",118106,10,"62","61"
"Central Coast","Chum","CM",507,"Mussel-Kynoch","Mussel-Kynock",112000,10,"63","62"
"Central Coast","Chum","CM",501,"Rivers Inlet","Rivers_Inlet",37559,10,"60","58"
"Central Coast","Chum","CM",500,"Smith Inlet","Smith_Inlet",54116,10,"61","60"
"Central Coast","Chum","CM",503,"Spiller-Fitz-Hugh-Burke","Spiller-Fitz-Hugh-Burke",258995,10,"62","61"
"Central Coast","Chinook","CK",512,"Bella Coola-Bentinck","Bella_Coola-Bentinck",20450,1,"31","35"
"Central Coast","Chinook","CK",513,"Dean River","Dean_River",2234,10,"31","35"
"Central Coast","Chinook","CK",515,"North & Central Coast-Early","NCC-early_timing",880,10,"31","34"
"Central Coast","Chinook","CK",514,"North & Central Coast-Late","NCC-late_timing",1658,1,"23","31"
"Central Coast","Chinook","CK",510,"Rivers Inlet","Rivers_Inlet",1900,10,"36","35"
"Central Coast","Chinook","CK",511,"Wannock","Wannock",6715,10,"36","35"
"Central Coast","Coho","CO",518,"Bella Coola-Dean Rivers","Bella_Coola-Dean_Rivers",41153,10,"62","61"
"Central Coast","Coho","CO",521,"Brim-Wahoo","Brim-Wahoo",5809,10,"54","61"
"Central Coast","Coho","CO",522,"Douglas Channel-Kitimat Arm","Douglas_Channel-Kitimat_Arm",83234,10,"52","60"
"Central Coast","Coho","CO",520,"Hecate Strait Mainland","Hecate_Strait_Mainland",167727,10,"61","61"
"Central Coast","Coho","CO",519,"Mussel-Kynoch","Mussel-Kynoch",6983,10,"61","60"
"Central Coast","Coho","CO",523,"Northern Coastal Streams","N_Coastal_Streams",117903,10,"61","61"
"Central Coast","Coho","CO",517,"Rivers Inlet","Rivers_Inlet",58237,10,"48","49"
"Central Coast","Coho","CO",516,"Smith Inlet","Smith_Inlet",9884,10,"35","36"
"Central Coast","Pink (even)","PKE",608,"Hecate Lowlands (even)","Hecate_Lowlands_even",870187,10,"31","31"
